,gameid,result,ckpm,gspd,golddiffat15,firstblood,firsttower,firsttothreetowers,turretplates,firstherald,firstdragon,dragons,minionkills,monsterkills,wpm,wcpm,gd10,cspm,csd10,egpm
26158,ESPORTSTMNT02_3163473,1,0.5793,-0.207587,-2713.0,0.0,0.0,0.0,1.0,1.0,0.0,0.625,0.509,0.421,0.0,2.6843,-1041.0,32.0566,-41.0,246.141
26159,ESPORTSTMNT02_3163473,0,0.5793,0.207587,2713.0,1.0,1.0,1.0,9.0,0.0,1.0,0.375,0.491,0.579,0.0,1.7959,1041.0,33.0222,41.0,235.365
24610,ESPORTSTMNT02_3161348,1,0.5632,0.154307,991.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0,0.513,0.544,0.0,2.8158,-582.0,38.0602,6.0,273.034
6095,ESPORTSTMNT03_3092334,1,0.5436,-0.069731,-1416.0,1.0,0.0,0.0,0.0,0.0,0.0,0.429,0.511,0.487,4.0139,2.9895,-135.0,32.1533,-29.0,226.946
8830,ESPORTSTMNT03_3098229,0,0.669,-0.0931852,-3081.0,0.0,0.0,0.0,6.0,1.0,1.0,0.333,0.516,0.426,4.4752,1.9839,-1163.0,34.3022,16.0,219.534
24611,ESPORTSTMNT02_3161348,0,0.5632,-0.154307,-991.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.487,0.456,0.0,2.1588,582.0,35.3852,-6.0,209.256
6094,ESPORTSTMNT03_3092334,0,0.5436,0.069731,1416.0,0.0,1.0,1.0,2.0,1.0,1.0,0.571,0.489,0.513,5.2892,2.5087,135.0,31.2125,29.0,217.509
38819,ESPORTSTMNT03_3127386,1,0.6545,-0.0334213,-1552.0,0.0,0.0,0.0,3.0,1.0,0.0,0.167,0.522,0.444,4.2774,2.8516,-1449.0,34.5462,-3.0,242.468
43258,ESPORTSTMNT01_3326772,0,0.8778,-0.0478156,-2975.0,0.0,0.0,0.0,4.0,0.0,1.0,0.333,0.502,0.342,3.7011,1.0913,-1138.0,32.7165,-54.0,241.523
43259,ESPORTSTMNT01_3326772,1,0.8778,0.0478156,2975.0,1.0,1.0,1.0,6.0,1.0,0.0,0.667,0.498,0.658,2.8944,1.8743,1138.0,36.4413,54.0,261.552
40798,ESPORTSTMNT01_3325029,1,0.5686,0.121504,-644.0,0.0,1.0,1.0,6.0,0.0,1.0,0.6,0.512,0.588,3.0902,2.1508,-679.0,35.6984,1.0,254.744
8831,ESPORTSTMNT03_3098229,1,0.669,0.0931852,3081.0,1.0,1.0,1.0,8.0,0.0,0.0,0.667,0.484,0.574,4.6828,2.3991,1163.0,34.3253,-16.0,262.293
18887,ESPORTSTMNT02_3150774,0,0.4213,-0.145017,-2164.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.506,0.45,0.0,1.3525,-803.0,31.5743,0.0,197.73
20747,ESPORTSTMNT02_3151589,0,0.5295,0.0194388,2259.0,1.0,1.0,1.0,6.0,1.0,0.0,0.5,0.509,0.439,0.0,2.3827,1391.0,33.5981,-9.0,199.533
20914,ESPORTSTMNT02_3153683,1,0.4688,-0.000903606,257.0,1.0,1.0,0.0,4.0,0.0,0.0,0.714,0.51,0.486,0.0,1.6036,117.0,34.5641,-8.0,252.336
5122,ESPORTSTMNT02_3141793,1,0.7901,0.0387877,2976.0,1.0,0.0,1.0,6.0,1.0,1.0,0.667,0.514,0.513,3.9737,1.7893,1824.0,33.2998,4.0,245.721
30394,ESPORTSTMNT03_3116100,0,0.5765,-0.045083,113.0,1.0,1.0,0.0,4.0,1.0,0.0,0.333,0.503,0.454,3.0899,1.5219,934.0,32.4904,-40.0,221.963
19690,ESPORTSTMNT02_3153139,1,0.7818,0.0590825,291.0,1.0,0.0,0.0,3.0,1.0,1.0,0.333,0.501,0.494,0.0,1.586,854.0,31.5637,-3.0,257.254
5830,ESPORTSTMNT02_3139906,1,0.5208,0.0083711,-3732.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.51,0.456,3.1698,1.8113,-2179.0,32.2415,-47.0,234.58
19691,ESPORTSTMNT02_3153139,0,0.7818,-0.0590825,-291.0,0.0,1.0,1.0,5.0,0.0,0.0,0.667,0.499,0.506,0.0,1.6754,-854.0,31.6307,3.0,217.894
15922,ESPORTSTMNT01_3309624,1,0.451,0.000703901,539.0,0.0,1.0,1.0,7.0,1.0,0.0,0.571,0.503,0.474,3.4724,1.6234,300.0,32.0406,19.0,227.445
30515,ESPORTSTMNT03_3116154,1,0.8965,-0.0036459,335.0,0.0,1.0,0.0,6.0,1.0,1.0,0.714,0.503,0.544,4.7812,1.8356,-475.0,30.9498,24.0,243.492
