player,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,damagetochampions,dpm,damageshare,damagetakenperminute,wardsplaced,wpm,controlwardsbought,vspm,totalgold,earned gpm,earnedgoldshare,cspm,golddiffat10,xpdiffat10,csdiffat10,golddiffat15,xpdiffat15,csdiffat15,gamelength
Fudge,3.2632,1.5789,5.5789,0.3158,0.2105,0.0526,0.0,18027.3684,594.4169,0.2393,849.2853,10.6316,0.3474,5.4737,0.9755,12426.1053,274.0257,0.2216,8.0902,-38.6842,81.5263,-1.0,327.7368,310.4211,4.3158,1861.5789
Blaber,2.7895,2.4737,6.5789,0.2105,0.0526,0.0526,0.0,12682.0526,410.7808,0.1599,994.0361,12.4211,0.4145,7.6316,1.7645,11038.3684,231.2459,0.1839,6.0423,91.2632,159.4737,6.5263,146.7368,152.1053,7.4211,1861.5789
Diplex,2.8889,1.3333,6.1111,0.1111,0.0,0.0,0.0,18657.2222,585.7907,0.2437,576.4275,8.3333,0.2587,6.0,0.9972,11980.2222,245.3784,0.2032,8.1807,-207.2222,-192.1111,-8.2222,-287.0,-60.5556,-8.2222,1922.2222
Berserker,4.5789,0.9474,5.2105,0.8947,0.2105,0.1053,0.0526,21383.0526,677.416,0.2682,364.6582,11.5789,0.38,5.5263,1.348,14585.7895,340.2464,0.2759,10.0065,143.0526,-42.7368,5.6316,473.4737,223.6316,9.8421,1861.5789
Zven,0.8421,2.0526,9.7368,0.0,0.0,0.0,0.0,7332.2105,242.9409,0.0931,311.4284,36.3158,1.1932,7.4737,3.5167,8061.1053,131.9155,0.1045,0.9849,89.7895,14.3684,-2.5263,15.4737,88.3158,-3.3158,1861.5789
Tenacity,2.25,2.05,6.05,0.2,0.0,0.0,0.0,15056.75,440.79,0.1978,816.918,9.35,0.276,6.8,1.0579,12818.35,244.1772,0.2169,7.6398,-113.25,-175.7,-4.25,-276.95,-186.8,-9.35,2066.6
Closer,2.8,2.5,7.25,0.35,0.15,0.0,0.0,11189.25,324.7207,0.1445,952.4411,8.05,0.2452,11.55,1.6754,11280.4,197.584,0.1708,5.2105,39.0,109.7,0.75,29.65,54.2,-0.35,2066.6
Bjergsen,2.85,1.8,7.35,0.25,0.0,0.0,0.0,21408.6,613.5399,0.262,437.7023,8.05,0.2476,5.1,0.9516,13590.15,265.317,0.2349,8.4685,-49.3,6.4,0.1,-62.55,-9.2,-0.85,2066.6
Doublelift,5.2,2.35,5.35,0.8,0.2,0.1,0.0,25557.7,712.3521,0.3056,438.4014,10.75,0.3203,4.85,1.5205,15789.0,324.0259,0.2856,10.0069,18.8,-5.35,2.45,151.55,234.35,7.85,2066.6
Busio,0.75,2.7,9.8,0.0,0.0,0.0,0.0,6753.95,196.9805,0.0901,351.9537,42.15,1.2432,12.85,3.0254,8077.5,104.6455,0.0918,0.7867,-199.15,-58.85,0.45,-89.55,56.9,-0.7,2066.6
Ssumday,2.6316,1.8421,5.0,0.4211,0.0526,0.0,0.0,16999.2632,463.5463,0.1891,808.817,12.0,0.3194,7.4737,1.3273,14611.2105,259.2719,0.2269,8.1236,32.0,52.7895,-0.5789,149.8421,112.7368,0.4737,2253.6842
Inspired,1.2105,1.8947,8.5263,0.0,0.0,0.0,0.0,13057.6316,342.5431,0.1378,921.8414,12.3158,0.3304,7.5789,1.6269,11955.5263,187.6514,0.1641,5.4206,-67.7368,-224.8947,-0.4737,5.8947,75.7368,0.5789,2253.6842
jojopyun,3.7222,3.7778,5.5556,0.3889,0.0556,0.0556,0.0,25006.8333,669.0473,0.2735,675.282,12.6667,0.3456,9.0,1.3132,15100.2222,272.2292,0.2381,8.513,119.5556,-93.2222,5.1111,293.3889,-39.2222,6.3889,2251.5
FBI,4.9474,1.8947,5.1053,0.8421,0.2105,0.0526,0.0,28843.6316,766.1102,0.3121,371.4885,13.0526,0.3485,6.2105,1.3131,16745.4211,315.0179,0.2755,9.4445,182.8947,210.3684,5.5263,160.7368,320.7895,4.7368,2253.6842
Vulcan,0.8421,2.2105,9.7895,0.0,0.0,0.0,0.0,7837.4737,201.0688,0.0871,290.0172,47.1053,1.2415,17.3158,3.2041,8900.6842,108.3289,0.0943,0.7425,148.7895,79.2105,-2.0,246.7368,16.0,-3.3158,2253.6842
Licorice,1.3889,2.7222,3.9444,0.0556,0.0,0.0,0.0,12585.5556,386.7037,0.185,907.5596,9.6667,0.294,5.5,1.1266,12260.7778,241.0594,0.2136,7.8263,-68.8333,-112.6111,-2.8333,-321.0556,-350.1667,-6.4444,1984.9444
River,2.4444,2.6667,6.7222,0.0556,0.0,0.0,0.0,11692.1667,348.6172,0.1555,983.6493,13.2778,0.3873,10.2222,1.7764,10725.4444,193.1357,0.1692,5.0527,1.6111,19.4444,-0.7222,-39.2778,-70.1111,-2.8333,1984.9444
Young,2.0,5.0,3.5,0.0,0.0,0.0,0.0,15635.5,450.796,0.2274,794.9519,12.5,0.3542,2.5,0.9792,12724.5,233.1236,0.226,8.0371,106.5,158.0,-1.0,13.0,-168.5,-4.0,2057.0
Stixxay,4.3889,2.0556,3.8333,0.5556,0.1111,0.0556,0.0,20159.4444,599.7608,0.2676,418.6583,9.0556,0.2755,4.5556,1.2625,14504.5,309.7462,0.2727,9.4466,69.5556,31.5,-1.1111,153.0,3.7778,-2.7222,1984.9444
huhi,1.1667,1.8889,8.7222,0.0556,0.0,0.0,0.0,7148.2222,211.3181,0.095,324.3623,43.7222,1.2931,14.8333,3.2599,8222.7222,118.3106,0.104,0.8538,141.0556,49.5556,-1.1667,248.1667,-19.7222,-0.2222,1984.9444
Summit,2.2222,3.1667,4.4444,0.1667,0.0,0.0,0.0,19294.3333,555.0384,0.2488,936.6362,9.4444,0.2895,6.8333,1.1991,13621.9444,263.3318,0.2334,8.3124,174.7778,193.4444,8.4444,360.3889,345.8333,13.1111,2075.7222
Pyosik,2.6667,2.4444,5.8333,0.1111,0.0,0.0,0.0,11082.1111,324.1109,0.1413,1000.9612,12.0556,0.3571,13.0556,1.7786,11280.2222,199.9903,0.1756,5.5513,54.8333,76.2778,-0.6111,206.5,67.3889,0.5,2075.7222
Haeri,3.5,2.8333,3.9444,0.6111,0.0556,0.0,0.0,21623.5,629.5678,0.2746,664.9431,8.9444,0.2691,5.9444,1.1964,13876.5,274.9828,0.2434,8.819,32.6111,186.3889,3.2778,78.1667,62.6111,2.3333,2075.7222
Yeon,3.1667,2.1667,4.3333,0.3889,0.0,0.0,0.0,21339.1667,606.4956,0.2642,426.8646,9.3333,0.2802,6.2222,1.3049,14500.7778,290.2821,0.256,9.4313,120.3333,74.8889,0.7222,258.4444,52.6111,2.2222,2075.7222
CoreJJ,0.7222,2.3333,8.5556,0.0556,0.0,0.0,0.0,5770.5556,165.918,0.0711,362.852,43.2778,1.2857,13.8889,3.1839,8052.8333,105.3513,0.0915,0.8604,-15.4444,51.7778,1.6111,-1.4444,42.8333,2.0556,2075.7222
Impact,2.2632,2.0526,5.2105,0.2105,0.0,0.0,0.0,14163.0526,443.9095,0.201,802.0065,8.4737,0.2679,5.1579,1.0378,12261.1579,251.307,0.2071,7.6729,118.6316,104.3684,3.2632,-120.0526,-54.3158,-1.3158,1921.6842
