,topkills1,topdeaths1,topassists1,topdoublekills1,toptriplekills1,topquadrakills1,toppentakills1,topdamagetochampions1,topdpm1,topdamageshare1,topdamagetakenperminute1,topwardsplaced1,topwpm1,topcontrolwardsbought1,topvspm1,toptotalgold1,topearned gpm1,topearnedgoldshare1,topcspm1,topgolddiffat101,topxpdiffat101,topcsdiffat101,topgolddiffat151,topxpdiffat151,topcsdiffat151,jgkills1,jgdeaths1,jgassists1,jgdoublekills1,jgtriplekills1,jgquadrakills1,jgpentakills1,jgdamagetochampions1,jgdpm1,jgdamageshare1,jgdamagetakenperminute1,jgwardsplaced1,jgwpm1,jgcontrolwardsbought1,jgvspm1,jgtotalgold1,jgearned gpm1,jgearnedgoldshare1,jgcspm1,jggolddiffat101,jgxpdiffat101,jgcsdiffat101,jggolddiffat151,jgxpdiffat151,jgcsdiffat151,midkills1,middeaths1,midassists1,middoublekills1,midtriplekills1,midquadrakills1,midpentakills1,middamagetochampions1,middpm1,middamageshare1,middamagetakenperminute1,midwardsplaced1,midwpm1,midcontrolwardsbought1,midvspm1,midtotalgold1,midearned gpm1,midearnedgoldshare1,midcspm1,midgolddiffat101,midxpdiffat101,midcsdiffat101,midgolddiffat151,midxpdiffat151,midcsdiffat151,botkills1,botdeaths1,botassists1,botdoublekills1,bottriplekills1,botquadrakills1,botpentakills1,botdamagetochampions1,botdpm1,botdamageshare1,botdamagetakenperminute1,botwardsplaced1,botwpm1,botcontrolwardsbought1,botvspm1,bottotalgold1,botearned gpm1,botearnedgoldshare1,botcspm1,botgolddiffat101,botxpdiffat101,botcsdiffat101,botgolddiffat151,botxpdiffat151,botcsdiffat151,supkills1,supdeaths1,supassists1,supdoublekills1,suptriplekills1,supquadrakills1,suppentakills1,supdamagetochampions1,supdpm1,supdamageshare1,supdamagetakenperminute1,supwardsplaced1,supwpm1,supcontrolwardsbought1,supvspm1,suptotalgold1,supearned gpm1,supearnedgoldshare1,supcspm1,supgolddiffat101,supxpdiffat101,supcsdiffat101,supgolddiffat151,supxpdiffat151,supcsdiffat151,topkills0,topdeaths0,topassists0,topdoublekills0,toptriplekills0,topquadrakills0,toppentakills0,topdamagetochampions0,topdpm0,topdamageshare0,topdamagetakenperminute0,topwardsplaced0,topwpm0,topcontrolwardsbought0,topvspm0,toptotalgold0,topearned gpm0,topearnedgoldshare0,topcspm0,topgolddiffat100,topxpdiffat100,topcsdiffat100,topgolddiffat150,topxpdiffat150,topcsdiffat150,jgkills0,jgdeaths0,jgassists0,jgdoublekills0,jgtriplekills0,jgquadrakills0,jgpentakills0,jgdamagetochampions0,jgdpm0,jgdamageshare0,jgdamagetakenperminute0,jgwardsplaced0,jgwpm0,jgcontrolwardsbought0,jgvspm0,jgtotalgold0,jgearned gpm0,jgearnedgoldshare0,jgcspm0,jggolddiffat100,jgxpdiffat100,jgcsdiffat100,jggolddiffat150,jgxpdiffat150,jgcsdiffat150,midkills0,middeaths0,midassists0,middoublekills0,midtriplekills0,midquadrakills0,midpentakills0,middamagetochampions0,middpm0,middamageshare0,middamagetakenperminute0,midwardsplaced0,midwpm0,midcontrolwardsbought0,midvspm0,midtotalgold0,midearned gpm0,midearnedgoldshare0,midcspm0,midgolddiffat100,midxpdiffat100,midcsdiffat100,midgolddiffat150,midxpdiffat150,midcsdiffat150,botkills0,botdeaths0,botassists0,botdoublekills0,bottriplekills0,botquadrakills0,botpentakills0,botdamagetochampions0,botdpm0,botdamageshare0,botdamagetakenperminute0,botwardsplaced0,botwpm0,botcontrolwardsbought0,botvspm0,bottotalgold0,botearned gpm0,botearnedgoldshare0,botcspm0,botgolddiffat100,botxpdiffat100,botcsdiffat100,botgolddiffat150,botxpdiffat150,botcsdiffat150,supkills0,supdeaths0,supassists0,supdoublekills0,suptriplekills0,supquadrakills0,suppentakills0,supdamagetochampions0,supdpm0,supdamageshare0,supdamagetakenperminute0,supwardsplaced0,supwpm0,supcontrolwardsbought0,supvspm0,suptotalgold0,supearned gpm0,supearnedgoldshare0,supcspm0,supgolddiffat100,supxpdiffat100,supcsdiffat100,supgolddiffat150,supxpdiffat150,supcsdiffat150,gamelength,winner
0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,19273.0,639.5907,0.222049,770.4757,10.0,0.3319,6.0,1.0619,11839.0,261.3385,0.192233,8.2633,414.0,341.0,-3.0,724.0,771.0,-4.0,4.0,1.0,5.0,1.0,0.0,0.0,0.0,10308.0,342.0796,0.118761,770.0774,31.0,1.0288,12.0,2.7544,11093.0,236.5819,0.174023,5.9735,-104.0,194.0,9.0,338.0,-3.0,-6.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,17215.0,571.2942,0.198339,684.0265,13.0,0.4314,13.0,1.1615,12860.0,295.2212,0.217156,9.292,-114.0,-406.0,-1.0,410.0,-32.0,10.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,34546.0,1146.4381,0.398014,458.031,15.0,0.4978,4.0,1.0951,16571.0,418.3739,0.307742,10.3872,211.0,447.0,5.0,1174.0,1234.0,13.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,5454.0,180.9956,0.062837,251.3827,51.0,1.6925,14.0,2.4558,8423.0,147.9757,0.108847,0.1659,177.0,-125.0,0.0,530.0,-47.0,-3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,14119.0,468.5509,0.241186,1043.4624,12.0,0.3982,4.0,0.7633,9901.0,197.0243,0.233381,7.4336,-414.0,-341.0,3.0,-724.0,-771.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,15223.0,505.1881,0.260044,1045.4867,4.0,0.1327,3.0,1.1283,8257.0,142.4668,0.168757,4.8119,104.0,-194.0,-9.0,-338.0,3.0,6.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,12863.0,426.8695,0.21973,541.7588,13.0,0.4314,5.0,0.6969,10017.0,200.8739,0.237941,8.8274,114.0,406.0,1.0,-410.0,32.0,-10.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,11154.0,370.1549,0.190536,847.8319,13.0,0.4314,5.0,1.427,11254.0,241.9248,0.286566,9.3252,-211.0,-447.0,-5.0,-1174.0,-1234.0,-13.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5181.0,171.9358,0.0885036,243.385,30.0,0.9956,10.0,2.2235,5830.0,61.9248,0.0733539,0.2987,-177.0,125.0,0.0,-530.0,47.0,3.0,1808,1
1,1.0,1.0,6.0,0.0,0.0,0.0,0.0,24846.0,686.6697,0.270718,743.3533,12.0,0.3316,7.0,1.0778,12597.0,218.1391,0.182919,7.4896,-52.0,395.0,-2.0,303.0,298.0,1.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,10588.0,292.6209,0.115365,736.2506,22.0,0.608,11.0,1.7688,12390.0,212.4182,0.178122,5.1405,-23.0,-303.0,-12.0,141.0,458.0,-5.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,26406.0,729.7835,0.287716,514.4081,21.0,0.5804,7.0,1.7135,15060.0,286.2091,0.240002,8.9544,206.0,-126.0,1.0,-54.0,-249.0,-9.0,7.0,2.0,4.0,1.0,0.0,0.0,0.0,22710.0,627.637,0.247445,574.9332,18.0,0.4975,7.0,1.3819,17519.0,354.1686,0.296992,10.281,-5.0,-430.0,-9.0,222.0,-198.0,-3.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,7228.0,199.7605,0.0787553,173.1184,61.0,1.6859,18.0,2.5426,9104.0,121.6029,0.101965,0.1935,645.0,145.0,1.0,675.0,229.0,-3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,15602.0,431.193,0.208968,979.3736,12.0,0.3316,5.0,0.912,14942.0,282.948,0.298499,8.1529,52.0,-395.0,2.0,-303.0,-298.0,-1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,16327.0,451.2298,0.218679,1011.1561,11.0,0.304,9.0,1.2989,9490.0,132.2708,0.139534,3.9245,23.0,303.0,12.0,-141.0,-458.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,24749.0,683.9889,0.331481,477.7338,15.0,0.4146,9.0,1.1331,12160.0,206.0617,0.217384,8.5122,-206.0,126.0,-1.0,54.0,249.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,14288.0,394.8779,0.191369,502.8835,12.0,0.3316,4.0,1.4095,14010.0,257.1902,0.271324,9.8664,5.0,430.0,9.0,-222.0,198.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3696.0,102.1465,0.0495031,368.7609,40.0,1.1055,15.0,2.819,7217.0,69.4519,0.0732593,0.7186,-645.0,-145.0,-1.0,-675.0,-229.0,3.0,2171,1
2,4.0,3.0,9.0,1.0,0.0,0.0,0.0,22495.0,624.2831,0.246396,799.8705,13.0,0.3608,7.0,1.1933,15915.0,311.6281,0.242412,9.1582,-425.0,-51.0,-9.0,8.0,165.0,-5.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,6717.0,186.4107,0.0735739,860.8696,15.0,0.4163,14.0,1.9704,12292.0,211.0823,0.164198,4.6901,152.0,-35.0,5.0,-130.0,-596.0,-4.0,5.0,3.0,4.0,1.0,1.0,0.0,0.0,25143.0,697.7706,0.275401,520.6846,22.0,0.6105,9.0,1.2766,14648.0,276.4662,0.21506,8.2424,-58.0,65.0,6.0,226.0,367.0,16.0,5.0,3.0,9.0,0.0,0.0,0.0,0.0,27852.0,772.951,0.305074,401.4894,12.0,0.333,3.0,1.0268,17225.0,347.9833,0.270693,9.7687,-542.0,-282.0,-4.0,143.0,-101.0,13.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,9089.0,252.2387,0.0995553,304.8289,71.0,1.9704,23.0,3.2192,9672.0,138.3719,0.107637,0.7216,-37.0,157.0,4.0,658.0,813.0,9.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,8622.0,239.2784,0.117053,972.6827,14.0,0.3885,9.0,1.2488,12129.0,206.5587,0.202195,7.4376,425.0,51.0,9.0,-8.0,-165.0,5.0,1.0,6.0,9.0,0.0,0.0,0.0,0.0,20773.0,576.494,0.282016,1034.0703,37.0,1.0268,15.0,2.1924,11372.0,185.5504,0.18163,5.2729,-152.0,35.0,-5.0,130.0,596.0,4.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,26390.0,732.3774,0.358273,474.6994,16.0,0.444,6.0,1.3321,13293.0,238.8622,0.233816,8.6031,58.0,-65.0,-6.0,-226.0,-367.0,-16.0,7.0,3.0,3.0,1.0,0.0,0.0,0.0,14395.0,399.4912,0.195428,484.1351,18.0,0.4995,7.0,1.6929,15916.0,311.6559,0.305073,9.9907,542.0,282.0,4.0,-143.0,101.0,-13.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,3479.0,96.5495,0.0472312,294.7549,66.0,1.8316,19.0,3.0527,7531.0,78.9547,0.0772853,0.2775,37.0,-157.0,-4.0,-658.0,-813.0,-9.0,2162,1
3,5.0,2.0,7.0,1.0,0.0,0.0,0.0,14880.0,460.4435,0.176295,770.067,12.0,0.3713,7.0,1.0521,13457.0,285.4874,0.210933,7.7669,-481.0,-286.0,-16.0,-482.0,56.0,-13.0,4.0,3.0,12.0,2.0,0.0,0.0,0.0,11132.0,344.4662,0.131889,1056.1114,11.0,0.3404,9.0,1.8876,11685.0,230.655,0.170419,5.5699,-297.0,-512.0,-1.0,-525.0,-484.0,-6.0,6.0,1.0,14.0,0.0,0.0,0.0,0.0,18764.0,580.6292,0.222312,791.9134,8.0,0.2476,3.0,0.8045,13700.0,293.0067,0.216489,8.0763,-39.0,-5.0,-5.0,-134.0,198.0,-1.0,7.0,0.0,13.0,2.0,0.0,0.0,0.0,31664.0,979.804,0.375148,440.5467,16.0,0.4951,6.0,1.4853,17100.0,398.2156,0.294224,10.0877,182.0,305.0,10.0,242.0,-220.0,6.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,7964.0,246.4363,0.0943557,362.0732,44.0,1.3615,14.0,2.228,8952.0,146.0856,0.107934,0.557,124.0,246.0,3.0,114.0,343.0,1.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,21164.0,654.8943,0.327429,669.2831,16.0,0.4951,7.0,1.083,11938.0,238.4838,0.246523,8.9118,481.0,286.0,16.0,482.0,-56.0,13.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,8318.0,257.3904,0.128688,802.558,30.0,0.9283,12.0,1.7638,11158.0,214.3476,0.221572,5.9722,297.0,512.0,1.0,525.0,484.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,18843.0,583.0737,0.29152,710.3455,5.0,0.1547,4.0,1.1759,10268.0,186.8076,0.193103,7.5193,39.0,5.0,5.0,134.0,-198.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,11787.0,364.7344,0.182357,686.2713,13.0,0.4023,5.0,1.1449,12264.0,248.5714,0.256951,10.0567,-182.0,-305.0,-10.0,-242.0,220.0,-6.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,4525.0,140.0206,0.0700063,338.4631,52.0,1.6091,13.0,2.8468,6790.0,79.1851,0.0818509,0.557,-124.0,-246.0,-3.0,-114.0,-343.0,-1.0,1939,1
4,6.0,1.0,1.0,0.0,0.0,0.0,0.0,26590.0,660.0745,0.260423,979.6359,13.0,0.3227,8.0,1.0674,17441.0,303.7236,0.268155,9.6566,544.0,-80.0,3.0,1163.0,1189.0,30.0,4.0,1.0,7.0,0.0,0.0,0.0,0.0,12392.0,307.621,0.121368,1231.477,19.0,0.4717,19.0,1.9859,13333.0,201.746,0.178118,6.2805,622.0,537.0,14.0,1671.0,879.0,26.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,27994.0,694.9276,0.274174,528.0844,19.0,0.4717,10.0,1.2164,16258.0,274.3566,0.242226,9.2098,-72.0,-343.0,-2.0,-795.0,-1107.0,-19.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,19527.0,484.7414,0.191248,442.7886,34.0,0.844,8.0,2.1597,14132.0,221.5805,0.19563,7.2735,240.0,154.0,-3.0,98.0,-391.0,-10.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,15600.0,387.2569,0.152787,441.8453,62.0,1.5391,17.0,3.2768,10493.0,131.2453,0.115872,0.9433,1012.0,762.0,5.0,944.0,1152.0,6.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,18580.0,461.2329,0.16414,848.4402,16.0,0.3972,12.0,0.993,18398.0,327.4803,0.2656,9.88,-544.0,80.0,-3.0,-1163.0,-1189.0,-30.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,23881.0,592.8258,0.21097,1096.657,12.0,0.2979,12.0,0.8688,11234.0,149.64,0.121361,4.2946,-622.0,-537.0,-14.0,-1671.0,-879.0,-26.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,25853.0,641.7791,0.228391,974.7704,11.0,0.2731,6.0,1.0923,20234.0,373.0575,0.302566,9.88,72.0,343.0,2.0,795.0,1107.0,19.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,31624.0,785.0393,0.279374,399.7931,23.0,0.571,12.0,1.1171,15424.0,253.6533,0.205722,7.9189,-240.0,-154.0,3.0,-98.0,391.0,10.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,13258.0,329.1187,0.117124,303.2768,69.0,1.7129,8.0,3.3761,10409.0,129.1601,0.104751,0.8192,-1012.0,-762.0,-5.0,-944.0,-1152.0,-6.0,2417,0
5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20825.0,621.9512,0.24164,1160.5774,6.0,0.1792,4.0,0.9856,11927.0,225.5749,0.226016,9.2285,378.0,-62.0,10.0,290.0,-423.0,12.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,8752.0,261.3838,0.101553,1320.1792,12.0,0.3584,13.0,1.4335,10327.0,177.7899,0.178138,5.5849,-186.0,-293.0,1.0,-787.0,17.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,25493.0,761.3639,0.295804,741.2046,12.0,0.3584,5.0,0.657,11553.0,214.4052,0.214824,8.6909,-172.0,-61.0,-6.0,-269.0,39.0,-6.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,23804.0,710.9209,0.276206,572.8522,14.0,0.4181,4.0,1.0154,14427.0,300.2389,0.300825,9.1687,1006.0,428.0,13.0,529.0,285.0,11.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,7308.0,218.2578,0.0847973,602.0309,52.0,1.553,15.0,3.2554,7054.0,80.0398,0.080197,0.7765,646.0,690.0,4.0,-152.0,109.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,26733.0,798.3972,0.233454,904.6889,12.0,0.3584,7.0,1.2245,13976.0,286.7695,0.218133,8.1832,-378.0,62.0,-10.0,-290.0,423.0,-12.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,17242.0,514.9428,0.150571,992.5834,13.0,0.3883,12.0,1.553,11622.0,216.4659,0.164656,4.8382,186.0,293.0,-1.0,787.0,-17.0,-4.0,6.0,1.0,4.0,2.0,1.0,0.0,0.0,20429.0,610.1244,0.178402,874.6142,7.0,0.2091,5.0,1.3141,15823.0,341.9313,0.260092,10.5426,172.0,61.0,6.0,269.0,-39.0,6.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,44237.0,1321.1648,0.386312,677.7402,20.0,0.5973,9.0,1.7322,15506.0,332.4639,0.252891,8.8402,-1006.0,-428.0,-13.0,-529.0,-285.0,-11.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,5870.0,175.3111,0.0512615,383.6834,44.0,1.3141,11.0,2.4788,8962.0,137.0234,0.104228,0.3584,-646.0,-690.0,-4.0,152.0,-109.0,-2.0,2009,0
6,3.0,2.0,7.0,0.0,0.0,0.0,0.0,25021.0,641.8384,0.347799,987.4476,15.0,0.3848,9.0,1.3596,17324.0,314.9295,0.266539,9.6965,457.0,278.0,16.0,887.0,786.0,32.0,2.0,2.0,8.0,1.0,0.0,0.0,0.0,8515.0,218.4267,0.118361,784.6943,20.0,0.513,21.0,2.36,12486.0,190.8251,0.161503,5.0791,110.0,626.0,-1.0,193.0,756.0,4.0,7.0,2.0,3.0,2.0,1.0,0.0,0.0,18493.0,474.3822,0.257058,717.1013,7.0,0.1796,4.0,1.2826,16938.0,305.0278,0.258159,8.8499,57.0,144.0,1.0,283.0,6.0,5.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,17413.0,446.6781,0.242046,530.4318,16.0,0.4104,6.0,1.9239,16361.0,290.2266,0.245632,10.4404,-681.0,-60.0,-5.0,-1039.0,-139.0,-14.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,2499.0,64.1043,0.0347368,313.339,62.0,1.5904,20.0,2.7961,8187.0,80.5472,0.0681682,0.3591,-142.0,-151.0,2.0,-314.0,-758.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,15714.0,403.0953,0.163582,700.5045,16.0,0.4104,11.0,1.5135,18389.0,342.2488,0.266245,10.0299,-457.0,-278.0,-16.0,-887.0,-786.0,-32.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,34321.0,880.4019,0.35728,1016.0496,12.0,0.3078,11.0,1.8213,13705.0,222.0949,0.172773,4.9252,-110.0,-626.0,1.0,-193.0,-756.0,-4.0,5.0,3.0,3.0,2.0,1.0,0.0,0.0,21140.0,542.283,0.220066,427.1569,15.0,0.3848,11.0,1.18,15709.0,273.5015,0.212764,7.3365,-57.0,-144.0,-1.0,-283.0,-6.0,-5.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,20071.0,514.8611,0.208938,514.2711,22.0,0.5643,7.0,1.3596,17819.0,327.6272,0.25487,9.1578,681.0,60.0,5.0,1039.0,139.0,14.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,4816.0,123.54,0.0501343,197.3664,72.0,1.8469,24.0,3.3861,9725.0,120.0,0.0933492,0.6156,142.0,151.0,-2.0,314.0,758.0,-1.0,2339,0
7,2.0,3.0,6.0,1.0,0.0,0.0,0.0,18761.0,621.2252,0.268237,1084.1722,13.0,0.4305,8.0,1.2914,11510.0,249.6026,0.198337,8.7417,-811.0,-146.0,-6.0,-739.0,-328.0,-7.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,7499.0,248.3113,0.107217,933.2119,10.0,0.3311,10.0,1.9205,9819.0,193.6093,0.153844,5.9272,-357.0,-273.0,4.0,-709.0,-495.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,0.0,17315.0,573.3444,0.247562,630.0,12.0,0.3974,9.0,1.1589,14085.0,334.8675,0.26609,10.6291,85.0,-74.0,3.0,-377.0,-690.0,-8.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,22386.0,741.2583,0.320065,277.0861,16.0,0.5298,5.0,1.6887,14783.0,357.9801,0.284456,10.7947,198.0,550.0,7.0,789.0,708.0,12.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3981.0,131.8212,0.0569186,138.8079,46.0,1.5232,16.0,2.947,7669.0,122.4172,0.097273,0.4305,48.0,-395.0,0.0,525.0,-183.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,16674.0,552.1192,0.291544,1162.1854,14.0,0.4636,8.0,1.1589,11433.0,247.053,0.260429,8.8411,811.0,146.0,6.0,739.0,328.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,8713.0,288.5099,0.152346,992.3841,12.0,0.3974,14.0,2.351,9169.0,172.0861,0.181402,5.4636,357.0,273.0,-4.0,709.0,495.0,-2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,18053.0,597.7815,0.315656,392.5828,18.0,0.596,10.0,1.5563,10984.0,232.1854,0.244756,10.0,-85.0,74.0,-3.0,377.0,690.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,11839.0,392.0199,0.207004,440.5629,15.0,0.4967,7.0,1.4901,11271.0,241.6887,0.254774,10.1325,-198.0,-550.0,-7.0,-789.0,-708.0,-12.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1913.0,63.3444,0.0334487,259.2715,50.0,1.6556,18.0,2.4172,5652.0,55.6291,0.0586388,0.2649,-48.0,395.0,0.0,-525.0,183.0,-1.0,1812,1
8,2.0,3.0,0.0,1.0,0.0,0.0,0.0,8802.0,338.7556,0.224415,574.4452,13.0,0.5003,6.0,1.501,9977.0,250.9686,0.258206,8.6209,-523.0,-445.0,0.0,-382.0,-107.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3831.0,147.4407,0.0976748,688.1719,8.0,0.3079,6.0,1.7704,7672.0,162.2579,0.166938,5.2726,44.0,-97.0,-4.0,112.0,-153.0,-12.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,7267.0,279.6793,0.185279,509.5959,7.0,0.2694,6.0,1.0006,8407.0,190.5452,0.19604,8.236,153.0,-111.0,1.0,141.0,269.0,-6.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,14122.0,543.5022,0.360053,507.787,12.0,0.4618,5.0,1.1546,10707.0,279.0635,0.287111,10.1219,-788.0,-539.0,-7.0,-1121.0,-1341.0,-6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,5200.0,200.1283,0.132579,276.6389,47.0,1.8089,11.0,2.2322,5772.0,89.1341,0.0917055,0.2309,-314.0,-162.0,-2.0,-188.0,944.0,-10.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,8105.0,311.9307,0.169657,610.6222,14.0,0.5388,6.0,1.501,9607.0,236.7287,0.187685,7.6972,523.0,445.0,0.0,382.0,107.0,-2.0,2.0,0.0,9.0,1.0,0.0,0.0,0.0,9716.0,373.932,0.203378,692.213,6.0,0.2309,6.0,1.6164,9301.0,224.9519,0.178348,5.696,-44.0,97.0,4.0,-112.0,153.0,12.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,8768.0,337.4471,0.183535,346.5298,12.0,0.4618,7.0,0.8082,9785.0,243.5792,0.193116,8.8133,-153.0,111.0,-1.0,-141.0,-269.0,6.0,7.0,0.0,5.0,1.0,1.0,0.0,0.0,17653.0,679.397,0.369518,565.5548,8.0,0.3079,2.0,1.7319,14627.0,429.9294,0.340859,10.9301,788.0,539.0,7.0,1121.0,1341.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3531.0,135.8948,0.073912,244.5029,44.0,1.6934,12.0,3.1174,6733.0,126.1193,0.0999915,0.5773,314.0,162.0,2.0,188.0,-944.0,10.0,1559,0
9,3.0,0.0,7.0,0.0,0.0,0.0,0.0,11344.0,361.2739,0.167116,692.6433,16.0,0.5096,10.0,1.3057,13361.0,294.3312,0.238036,9.2675,407.0,1.0,4.0,548.0,153.0,8.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,5127.0,163.2803,0.0755292,680.6688,14.0,0.4459,12.0,2.3248,11466.0,233.9809,0.189229,5.6051,569.0,81.0,2.0,200.0,-1051.0,-6.0,5.0,1.0,7.0,1.0,0.0,0.0,0.0,17004.0,541.5287,0.250497,400.4459,13.0,0.414,6.0,0.7006,13027.0,283.6943,0.229434,8.6943,-386.0,-306.0,-2.0,-116.0,-396.0,2.0,3.0,1.0,7.0,1.0,0.0,0.0,0.0,23140.0,736.9427,0.340891,554.2357,17.0,0.5414,7.0,2.3248,14037.0,315.8599,0.255447,10.3503,-374.0,-495.0,-4.0,434.0,140.0,6.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,11266.0,358.7898,0.165967,150.8599,55.0,1.7516,17.0,2.293,7530.0,108.6306,0.0878541,0.1911,9.0,-101.0,-3.0,298.0,332.0,-4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11683.0,372.0701,0.229872,575.8917,13.0,0.414,7.0,0.9236,10047.0,188.7898,0.219434,8.6306,-407.0,-1.0,-4.0,-548.0,-153.0,-8.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,9303.0,296.2739,0.183043,848.6943,9.0,0.2866,8.0,1.7834,8906.0,152.4522,0.177198,5.4777,-569.0,-81.0,-2.0,-200.0,1051.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,14291.0,455.1274,0.281186,560.1274,12.0,0.3822,9.0,1.051,10659.0,208.2803,0.242087,8.2484,386.0,306.0,2.0,116.0,396.0,-2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,11557.0,368.0573,0.227393,575.6051,18.0,0.5732,8.0,1.9745,11900.0,247.8025,0.288025,9.3631,374.0,495.0,4.0,-434.0,-140.0,-6.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3990.0,127.0701,0.0785062,415.2866,50.0,1.5924,18.0,2.707,6098.0,63.0255,0.0732565,0.3185,-9.0,101.0,3.0,-298.0,-332.0,4.0,1884,1
