,gameid,result,ckpm,gspd,golddiffat15,firstblood,firsttower,firsttothreetowers,turretplates,firstherald,firstdragon,dragons,minionkills,monsterkills,wpm,wcpm
43258,ESPORTSTMNT01_3326772,0,0.8778,-0.0478156,-2975.0,0.0,0.0,0.0,4.0,0.0,1.0,0.333,0.502,0.342,3.7011,1.0913
43259,ESPORTSTMNT01_3326772,1,0.8778,0.0478156,2975.0,1.0,1.0,1.0,6.0,1.0,0.0,0.667,0.498,0.658,2.8944,1.8743
18887,ESPORTSTMNT02_3150774,0,0.4213,-0.145017,-2164.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.506,0.45,0.0,1.3525
20747,ESPORTSTMNT02_3151589,0,0.5295,0.0194388,2259.0,1.0,1.0,1.0,6.0,1.0,0.0,0.5,0.509,0.439,0.0,2.3827
5122,ESPORTSTMNT02_3141793,1,0.7901,0.0387877,2976.0,1.0,0.0,1.0,6.0,1.0,1.0,0.667,0.514,0.513,3.9737,1.7893
30394,ESPORTSTMNT03_3116100,0,0.5765,-0.045083,113.0,1.0,1.0,0.0,4.0,1.0,0.0,0.333,0.503,0.454,3.0899,1.5219
19690,ESPORTSTMNT02_3153139,1,0.7818,0.0590825,291.0,1.0,0.0,0.0,3.0,1.0,1.0,0.333,0.501,0.494,0.0,1.586
5830,ESPORTSTMNT02_3139906,1,0.5208,0.0083711,-3732.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.51,0.456,3.1698,1.8113
19691,ESPORTSTMNT02_3153139,0,0.7818,-0.0590825,-291.0,0.0,1.0,1.0,5.0,0.0,0.0,0.667,0.499,0.506,0.0,1.6754
30515,ESPORTSTMNT03_3116154,1,0.8965,-0.0036459,335.0,0.0,1.0,0.0,6.0,1.0,1.0,0.714,0.503,0.544,4.7812,1.8356
30395,ESPORTSTMNT03_3116100,1,0.5765,0.045083,-113.0,0.0,0.0,1.0,2.0,0.0,1.0,0.667,0.497,0.546,3.0438,1.4527
18886,ESPORTSTMNT02_3150774,1,0.4213,0.145017,2164.0,0.0,1.0,1.0,8.0,1.0,0.0,0.5,0.494,0.55,0.0,2.0399
41327,ESPORTSTMNT01_3325223,0,0.8301,-0.0570772,2297.0,1.0,0.0,1.0,5.0,1.0,1.0,0.429,0.525,0.507,4.491,1.7879
30514,ESPORTSTMNT03_3116154,0,0.8965,0.0036459,-335.0,1.0,0.0,1.0,4.0,0.0,0.0,0.286,0.497,0.456,2.9669,2.5827
20746,ESPORTSTMNT02_3151589,1,0.5295,-0.0194388,-2259.0,0.0,0.0,0.0,3.0,0.0,1.0,0.5,0.491,0.561,0.0,2.1661
42262,ESPORTSTMNT01_3324554,1,0.5589,0.051598,3437.0,1.0,1.0,1.0,6.0,1.0,1.0,0.667,0.517,0.533,3.0134,1.9927
