,Team,W,L,CKPM,GSPD,GD15,FB%,FT%,F3T%,PPG,HLD%,FD%,DRG%,LNE%,JNG%,WPM,WCPM,gd10,cs_min,csd_10,egpm
0,100 Thieves,12,8,0.73,-0.002,-248,0.65,0.45,0.35,3.0,0.43,0.6,0.62,0.5,0.509,2.33,1.58,-60.6,6.38,-60.6,227.0
1,Cloud9,15,4,0.75,0.089,919,0.47,0.53,0.63,4.4,0.66,0.74,0.69,0.504,0.545,2.67,1.68,71.2,6.7,71.2,248.0
2,Counter Logic Gaming,10,9,0.71,-0.002,228,0.47,0.37,0.47,4.6,0.55,0.47,0.47,0.506,0.506,2.48,1.71,-53.6,6.56,-53.6,227.4
3,Dignitas,3,15,0.68,-0.105,-1221,0.39,0.28,0.28,2.8,0.33,0.28,0.26,0.493,0.448,2.18,1.6,16.0,6.24,16.0,201.6
4,Evil Geniuses,10,9,0.66,0.026,838,0.53,0.42,0.53,4.0,0.42,0.58,0.46,0.501,0.506,2.59,1.57,83.2,6.44,83.2,228.8
5,FlyQuest,14,5,0.78,0.063,516,0.63,0.74,0.74,4.2,0.71,0.42,0.59,0.504,0.524,2.64,1.81,113.8,6.58,113.8,245.0
6,Golden Guardians,9,9,0.74,0.014,52,0.5,0.61,0.61,4.5,0.53,0.61,0.55,0.494,0.491,2.55,1.61,31.6,6.34,31.6,227.4
7,Immortals,4,14,0.71,-0.073,-1171,0.44,0.39,0.28,3.1,0.31,0.39,0.34,0.496,0.473,2.65,1.56,-84.2,6.48,-84.2,201.2
8,Team Liquid,8,10,0.73,0.018,902,0.44,0.78,0.72,5.2,0.61,0.39,0.52,0.507,0.513,2.48,1.74,73.6,6.56,73.6,224.2
9,TSM,8,10,0.73,-0.039,-926,0.39,0.44,0.39,3.2,0.44,0.5,0.47,0.494,0.479,2.48,1.55,-41.8,6.32,-41.8,219.2
