"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",1,"1.1%","0.0%","1.1%","100%","100%",6,3,9,5,"65.2%","20.0%","0%",815,1014,21,7.3,"21.3%",691,"27.2%","24.5%",0.35,0.3
"Ahri","Middle",7,"7.5%","10.8%","18.3%","57%","29%",31,9,42,8.1,"73.7%","10.7%","0%",90,171,4.7,8.5,"25.3%",678,"28.7%","24.6%",0.44,0.24
"Akali","Middle",14,"15.1%","19.4%","34.4%","50%","64%",53,38,37,2.4,"56.3%","25.2%","0%",-251,-70,-2.5,8.2,"24.6%",510,"25.1%","22.9%",0.2,0.21
"Alistar","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Amumu","Jungle",3,"3.2%","0.0%","3.2%","100%","100%",7,5,34,8.2,"77.4%","23.8%","100%",431,315,1,6.4,"19.2%",394,"19.0%","19.0%",0.23,0.42
"Anivia","Middle",1,"1.1%","0.0%","1.1%","0%","100%",3,4,2,1.3,"62.5%","20.0%","100%",-24,284,15,8.3,"26.2%",524,"26.6%","24.0%",0.48,0.2
"Annie","Middle",8,"8.6%","33.3%","50.5%","63%","0%",19,23,67,3.7,"74.8%","22.8%","13%",105,-41,1.9,7.3,"19.1%",556,"25.3%","21.6%",0.36,0.23
"Annie","Support",8,"8.6%","33.3%","50.5%","75%","25%",1,13,80,6.2,"73.6%","20.0%","25%",2,-241,-7.5,0.8,"2.9%",221,"9.3%","9.2%",0.62,0.52
"Aphelios","ADC",13,"14.0%","4.3%","18.3%","31%","62%",32,34,62,2.8,"68.6%","18.0%","8%",-48,-1,1.4,9.6,"32.0%",605,"27.3%","26.9%",0.38,0.35
"Ashe","ADC",2,"2.2%","64.5%","77.4%","50%","0%",6,4,17,5.8,"67.6%","17.4%","0%",-474,-160,-7.5,7.4,"22.6%",380,"15.1%","22.5%",0.43,0.42
"Ashe","Support",10,"10.8%","64.5%","77.4%","50%","10%",5,29,84,3.1,"76.1%","19.0%","40%",157,38,-8.8,1,"4.1%",367,"14.5%","10.1%",1.91,0.69
"Aurelion Sol","Middle",7,"7.5%","6.5%","14.0%","29%","43%",33,13,29,4.8,"77.5%","13.3%","14%",-302,-316,-10.9,9.8,"31.9%",686,"31.3%","27.8%",0.49,0.13
"Azir","Middle",27,"29.0%","16.1%","46.2%","41%","37%",60,66,121,2.7,"65.3%","19.4%","26%",144,224,7.7,8.9,"26.7%",655,"29.1%","23.9%",0.27,0.25
"Azir","Support",1,"1.1%","16.1%","46.2%","0%","100%",0,5,3,0.6,"37.5%","20.0%","0%",92,-282,-5,0.7,"2.6%",280,"13.7%","8.5%",1.5,0.49
"Blitzcrank","Support",1,"1.1%","1.1%","2.2%","100%","100%",4,2,9,6.5,"56.5%","13.3%","0%",-523,265,11,1.1,"2.9%",189,"7.4%","10.4%",1.74,0.55
"Braum","Support",1,"1.1%","0.0%","1.1%","100%","100%",3,3,9,4,"85.7%","42.9%","0%",-210,83,-1,1.4,"3.6%",176,"7.7%","12.8%",1.21,0.52
"Caitlyn","ADC",15,"16.1%","59.1%","76.3%","53%","20%",64,28,62,4.5,"68.9%","13.9%","20%",45,-26,1.5,9.3,"32.2%",582,"26.8%","26.8%",0.32,0.37
"Caitlyn","Support",1,"1.1%","59.1%","76.3%","0%","0%",5,2,6,5.5,"73.3%","8.7%","100%",523,-265,-11,2.2,"10.4%",622,"17.9%","18.4%",3.12,1.32
"Camille","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Cassiopeia","Middle",2,"2.2%","3.2%","5.4%","100%","100%",9,5,12,4.2,"70.0%","18.5%","0%",330,311,10.5,8.1,"23.6%",568,"25.6%","24.3%",0.46,0.17
"Cho'Gath","Top",7,"7.5%","4.3%","11.8%","43%","86%",14,29,30,1.5,"55.0%","25.7%","29%",-28,-7,2.3,7.3,"20.3%",528,"22.2%","21.2%",0.46,0.14
"Draven","ADC",5,"5.4%","3.2%","8.6%","40%","100%",18,12,12,2.5,"63.8%","21.4%","20%",-157,-336,-10,8.8,"29.8%",553,"26.4%","27.1%",0.47,0.24
"Elise","Jungle",16,"17.2%","68.8%","86.0%","56%","44%",51,40,94,3.6,"68.4%","21.7%","63%",84,-182,-4.7,5.5,"16.9%",466,"18.6%","18.3%",0.65,0.57
"Ezreal","ADC",8,"8.6%","3.2%","11.8%","75%","100%",41,5,26,13.4,"58.8%","8.6%","38%",562,201,10.4,9.8,"31.9%",701,"29.0%","27.5%",0.39,0.25
"Fiora","Top",10,"10.8%","23.7%","34.4%","50%","80%",31,16,28,3.7,"56.2%","13.4%","10%",116,-94,1.2,8.6,"27.9%",509,"22.6%","24.6%",0.36,0.24
"Galio","Middle",5,"5.4%","2.2%","7.5%","40%","100%",12,13,33,3.5,"70.3%","22.0%","20%",-204,-120,-10.8,7.8,"23.3%",411,"19.2%","20.7%",0.48,0.12
"Gangplank","Top",4,"4.3%","1.1%","5.4%","50%","100%",6,12,21,2.3,"75.0%","26.1%","50%",153,-64,-5.8,9.2,"29.3%",658,"34.3%","28.0%",0.29,0.06
