"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"100 Thieves",20,12,8,34.4,277,228,1.21,0.73,-0.31,"-0.2%",46.3,13.7,-248,"65%","45%","35%",3,"43%","60%","62%","100%","55%","61%","50.0%","50.9%",2.33,1.17,1.58
"Cloud9",19,15,4,31,270,174,1.55,0.75,0.81,"8.9%",57.8,21.1,919,"47%","53%","63%",4.4,"66%","74%","69%",,"68%","64%","50.4%","54.5%",2.67,1.04,1.68
"Counter Logic Gaming",19,10,9,35.7,238,248,0.96,0.71,-0.01,"-0.2%",52.1,0.6,228,"47%","37%","47%",4.6,"55%","47%","47%","100%","58%","55%","50.6%","50.6%",2.48,1.02,1.71
"Dignitas",18,3,15,33.1,145,259,0.56,0.68,-1.24,"-10.5%",38.5,-21.8,-1221,"39%","28%","28%",2.8,"33%","28%","26%","0%","11%","15%","49.3%","44.8%",2.18,1.1,1.6
"Evil Geniuses",19,10,9,37.6,255,218,1.17,0.66,0.64,"2.6%",60.8,-8.1,838,"53%","42%","53%",4,"42%","58%","46%","33%","63%","55%","50.1%","50.6%",2.59,1.26,1.57
"FlyQuest",19,14,5,32,270,208,1.3,0.78,1.09,"6.3%",56.5,17.1,516,"63%","74%","74%",4.2,"71%","42%","59%",,"74%","71%","50.4%","52.4%",2.64,1.34,1.81
"Golden Guardians",18,9,9,33.1,231,213,1.08,0.74,0.37,"1.4%",51,-1,52,"50%","61%","61%",4.5,"53%","61%","55%","0%","56%","54%","49.4%","49.1%",2.55,1.22,1.61
"Immortals",18,4,14,32.7,159,260,0.61,0.71,-1.19,"-7.3%",38.5,-16.2,-1171,"44%","39%","28%",3.1,"31%","39%","34%","100%","22%","27%","49.6%","47.3%",2.65,1.2,1.56
"Team Liquid",18,8,10,34.6,221,233,0.95,0.73,0.57,"1.8%",57.7,-13.3,902,"44%","78%","72%",5.2,"61%","39%","52%","0%","50%","41%","50.7%","51.3%",2.48,1.32,1.74
"TSM",18,8,10,34.6,211,245,0.86,0.73,-0.83,"-3.9%",39.7,4.7,-926,"39%","44%","39%",3.2,"44%","50%","47%","67%","39%","44%","49.4%","47.9%",2.48,1.1,1.55
